timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673457343682,6505,HTTP Request,200,OK,new_users 1-1,text,true,,64499,122,100,100,https://www.banglapuzzle.com/,4094,0,1033
1673457350190,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-1,text,false,,1122,0,100,100,http:/,0,0,0
1673457344174,6116,HTTP Request,200,OK,new_users 1-33,text,true,,64499,122,99,99,https://www.banglapuzzle.com/,3249,0,527
1673457350290,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-33,text,false,,1122,0,99,99,http:/,0,0,0
1673457345317,5104,HTTP Request,200,OK,new_users 1-89,text,true,,64499,122,98,98,https://www.banglapuzzle.com/,4002,0,2211
1673457350421,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-89,text,false,,1122,0,98,98,http:/,0,0,0
1673457344778,5668,HTTP Request,200,OK,new_users 1-55,text,true,,64499,122,97,97,https://www.banglapuzzle.com/,4065,0,705
1673457344544,5902,HTTP Request,200,OK,new_users 1-51,text,true,,64499,122,97,97,https://www.banglapuzzle.com/,4207,0,526
1673457350447,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-55,text,false,,1122,0,97,97,http:/,0,0,0
1673457350447,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-51,text,false,,1122,0,97,97,http:/,0,0,0
1673457344883,5613,HTTP Request,200,OK,new_users 1-67,text,true,,64499,122,95,95,https://www.banglapuzzle.com/,4351,0,1130
1673457350497,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-67,text,false,,1122,0,95,95,http:/,0,0,0
1673457344789,5864,HTTP Request,200,OK,new_users 1-60,text,true,,64499,122,94,94,https://www.banglapuzzle.com/,4301,0,679
1673457350654,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-60,text,false,,1122,0,94,94,http:/,0,0,0
1673457344189,6527,HTTP Request,200,OK,new_users 1-34,text,true,,64499,122,93,93,https://www.banglapuzzle.com/,4628,0,527
1673457350716,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-34,text,false,,1122,0,93,93,http:/,0,0,0
1673457343983,6793,HTTP Request,200,OK,new_users 1-24,text,true,,64499,122,92,92,https://www.banglapuzzle.com/,4935,0,757
1673457350777,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-24,text,false,,1122,0,92,92,http:/,0,0,0
1673457344328,6505,HTTP Request,200,OK,new_users 1-37,text,true,,64499,122,91,91,https://www.banglapuzzle.com/,4145,0,545
1673457350834,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-37,text,false,,1122,0,91,91,http:/,0,0,0
1673457345088,6238,HTTP Request,200,OK,new_users 1-78,text,true,,64499,122,90,90,https://www.banglapuzzle.com/,4099,0,1934
